PSCT;BandiT
102,7217712;0
102,7818451;0
102,8437729;0
102,8781281;0
102,7994156;0
102,7367554;0
102,7382431;0
102,644989;0
102,679718;0
102,6251907;0
102,7065659;0
102,706543;0
102,6750717;0
102,6698227;0
102,6417923;0
102,5673065;0
102,5737839;0
102,630722;0
102,5486526;0
102,5852509;0
102,5378952;0
102,5292587;0
102,4563522;0
102,3766937;0
102,3776093;0
102,3830338;0
102,3171692;0
102,3481064;0
102,40625;0
102,340683;0
102,3372345;0
102,3737488;0
102,3826675;0
102,3276901;0
102,29245;0
102,2687073;0
102,2706299;0
102,2966843;0
102,2795258;0
102,2664337;0
102,196701;0
102,2000122;0
102,2100983;0
102,1920013;0
102,1365814;0
102,106575;0
102,0888824;0
102,1180725;0
102,1236191;0
102,0573349;0
102,0968094;0
102,0202942;0
102,018692;0
102,0212708;0
102,0806961;0
102,0248489;0
101,9679184;0
102,0238953;0
101,9022064;0
101,922966;0
101,7978592;0
101,8115845;0
101,8432236;0
101,8676071;0
101,9297409;0
101,9411545;0
101,8806534;0
101,8309784;0
101,8384171;0
101,7845078;0
101,8489761;0
101,7698822;0
101,7289886;0
101,7821198;0
101,753952;0
101,763855;0
101,6887589;0
101,7535629;0
101,6280441;0
101,646553;0
101,5583191;0
101,6438141;0
101,5903549;0
101,5331039;0
101,4983749;0
101,5016556;0
101,4583435;0
101,4670715;0
101,4818573;0
101,4813614;0
101,4704361;0
101,4208832;0
101,3728943;0
101,3556213;0
101,3575516;0
101,3705978;0
101,3725586;0
101,338028;0
101,2493973;0
101,3158569;0
101,2438965;0
101,2568436;0
101,1610336;0
101,2368317;0
101,2194977;0
101,1888428;0
101,212616;0
101,197998;0
101,2374115;0
101,1635818;0
101,0825806;0
101,0161743;0
101,03479;0
101,0211487;0
101,1177597;0
101,074028;0
101,0195694;0
100,9918823;0
100,9966965;0
100,9815826;0
100,9731903;0
100,9980087;0
100,9312897;0
100,835022;0
100,8994904;0
100,8691635;0
100,8103256;0
100,7699661;0
100,7739105;0
100,7882767;0
100,7734833;0
100,7770996;0
100,7620087;0
100,7480392;0
100,7075958;0
100,7023697;0
100,6769791;0
100,6728592;0
100,6599579;0
100,6565857;0
100,6445618;0
100,7102203;0
100,6077118;0
100,5459595;0
100,5189972;0
100,5047684;0
100,4577103;0
100,5229797;0
100,5585251;0
100,5937424;0
100,5644836;0
100,5432816;0
100,5304794;0
100,5117493;0
100,468132;0
100,4401398;0
100,3474884;0
100,3650742;0
100,3800888;0
100,4117432;0
100,4552307;0
100,4426727;0
100,3484192;0
100,3197861;0
100,3022919;0
100,2728348;0
100,2508163;0
100,2521667;0
100,2398071;0
100,2198334;0
100,2885895;0
100,261734;0
100,2022552;0
100,1800003;0
100,1603088;0
100,1828232;0
