PSCT;BandiT
102,5716248;0
102,6130447;0
102,591568;0
102,545311;0
102,5635529;0
102,5457077;0
102,6087723;0
102,5410614;0
102,5385361;0
102,4231796;0
102,4280472;0
102,4352493;0
102,5235291;0
102,4621124;0
102,5279465;0
102,566124;0
102,5864716;0
102,5744019;0
102,550827;0
102,5614319;0
102,58461;0
102,5791397;0
102,5866241;0
102,5602036;0
102,5578079;0
102,5446548;0
102,4657516;0
102,5296249;0
102,546814;0
102,5830002;0
102,5509644;0
102,5684814;0
102,5750122;0
102,6533127;0
102,6313553;0
102,5937958;0
102,5518951;0
102,5366974;0
102,5892944;0
102,5894547;0
102,5967865;0
102,6084137;0
102,5891647;0
102,617897;0
102,6107864;0
102,6020508;0
102,5555115;0
102,6192398;0
102,6329651;0
102,6427307;0
102,5855408;0
102,5807419;0
102,6220932;0
102,6729355;0
102,6023865;0
102,5408554;0
102,5111847;0
102,5734711;0
102,540062;0
102,5181885;0
102,4928436;0
102,5344543;0
102,546051;0
102,5529175;0
102,5288925;0
102,5432205;0
102,4047089;0
102,4253464;0
102,4630737;0
102,5261688;0
102,5161591;0
102,5317612;0
102,5006943;0
102,4828568;0
102,4837494;0
102,5385361;0
102,4743042;0
102,459549;0
102,4372101;0
102,4069138;0
102,4809418;0
102,5278549;0
102,4776764;0
102,3904953;0
102,4289017;0
102,4466476;0
102,4181976;0
102,4134827;0
102,3683777;0
102,4576874;0
102,3748627;0
102,3524017;0
102,3756714;0
102,3849258;0
102,4144211;0
102,4702988;0
102,3980026;0
102,3983994;0
102,3386307;0
102,3768005;0
102,4008179;0
102,4485245;0
102,4170609;0
102,3448792;0
102,3765182;0
102,4406433;0
102,4480438;0
102,4113922;0
102,3911362;0
102,4120255;0
102,4253006;0
102,4753418;0
102,4404984;0
102,3940735;0
102,4493103;0
102,4240646;0
102,4743576;0
102,427124;0
102,4808807;0
102,5246506;0
102,5735855;0
102,6250763;0
102,6879807;0
102,7164307;0
102,723381;0
102,7630005;0
102,7379379;0
102,7482071;0
102,7866287;0
102,7905731;0
102,8651123;0
102,9067307;0
102,9643784;0
103,0427017;0
103,1019592;0
103,2406464;0
103,3367615;0
103,3328705;0
103,4662247;0
103,5351028;0
103,6207352;0
103,7086334;0
103,8238068;0
103,9638367;0
104,0689087;0
104,1765671;0
104,3296509;0
104,4292831;0
104,6427689;0
104,7110596;0
104,7636337;0
104,9423828;0
105,1491241;0
105,3596268;0
105,5316544;0
105,758934;0
105,8850098;0
106,0681229;0
106,2447281;0
106,4197388;0
106,6166077;0
106,8430176;0
107,1397552;0
107,4309845;0
107,6673584;0
107,8826065;0
108,2338409;0
108,5309143;0
108,8280487;0
109,0452728;0
109,2306671;0
109,6176453;0
109,9644699;0
110,2164841;0
110,5658035;0
110,924736;0
111,3787918;0
111,7897568;0
112,0547638;0
112,3836517;0
112,7795944;0
113,0908356;0
113,5140686;0
113,9260025;0
114,2896957;0
114,6410141;0
115,0740128;0
115,524353;0
116,0059814;0
116,4326019;0
116,8676987;0
117,3117065;0
117,7106552;0
118,1157608;0
118,5034027;0
119,0056381;0
119,5332489;0
119,9443588;0
120,2973175;0
120,8152161;0
121,1336975;0
121,7120972;0
122,2907867;0
122,7705231;0
123,2291107;0
123,7236404;0
124,209053;0
124,6653519;0
125,1249771;0
125,6676331;0
126,0855713;0
126,597702;0
127,0664368;0
127,5981903;0
128,108963;0
128,6537781;0
129,1838837;0
129,68573;0
130,2160492;0
130,7525635;0
131,3195343;0
131,8340302;0
132,4169769;0
132,9515686;0
133,4980316;0
133,9866943;0
134,5789337;0
135,1269684;0
135,626709;0
136,109375;0
136,705719;0
137,2335052;0
137,8742676;0
138,370636;0
139,002121;0
139,4751892;0
